vendor_id,vendor_name,entity_name,entity_id,fiscal_year,account,description,level_primary,level_secondary,level_tertiary,level_quaternary,net_amount,num_twg
1589337,uamps,Fairview,413,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,391757.64,12
1589337,uamps,Fairview,413,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,404877.23,12
1776523,utah state treasurer,Santaquin,577,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,80554.39,13
1776523,utah state treasurer,Santaquin,577,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,84681.74,12
1795493,us bank,Riverton,561,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,979457.14,234
1795493,us bank,Riverton,561,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,956905.48,229
1795787,salt lake county public works,Riverton,561,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,313168,1
1795851,south jordan city,Riverton,561,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,225430,1
1796237,transjordan cities landfill,Riverton,561,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,272317.02,24
1796237,transjordan cities landfill,Riverton,561,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,286332.36,13
1796331,kilgore paving  maintenance,Riverton,561,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,71334.74,1
2079919,ln curtis and sons,Tooele City Corporation,605,2019,40060100,Grants and Contracts - Federal,EXPENDITURES,Grants and Contracts,Federal,NA,30824.5,12
2079979,watch guard,Tooele City Corporation,605,2019,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,48890,4
2080089,turfit landscape services,Tooele City Corporation,605,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,60695,59
2080365,tooele city arts council,Tooele City Corporation,605,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,170784.94,2
2080365,tooele city arts council,Tooele City Corporation,605,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,132301.1,2
2080365,tooele city arts council,Tooele City Corporation,605,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,274000,4
